college_name,city,state,stream,programs,annual_fees,avg_placement,highest_placement,eligibility,hostel,college_type,website
"Symbiosis College of Arts & Commerce","Pune","Maharashtra","Commerce","B.Com|B.Com Accounting & Finance|B.Com Management Accounting|B.Com Business Analytics",90000,450000,900000,"12th Commerce or equivalent","Yes","Private","https://symbiosiscollege.edu.in/"
"Christ College Pune","Pune","Maharashtra","Commerce","B.Com|B.Com Computer Applications|B.Com International Accounting & Finance",100000,450000,900000,"12th or equivalent","Yes","Private","https://christcollegepune.org/"
"Brihan Maharashtra College of Commerce","Pune","Maharashtra","Commerce","B.Com|B.Com Banking & Finance|B.Com Business Administration|B.Com International Business",70000,450000,1000000,"12th Commerce or equivalent","Yes","Private","https://bmcc.ac.in/"
"Indira College of Commerce and Science","Pune","Maharashtra","Commerce","B.Com|BBA|BCA|B.Com International Accounting",90000,400000,850000,"12th or equivalent","Yes","Private","https://indiracc.ac.in/"
"MIT World Peace University School of Commerce","Pune","Maharashtra","Commerce","B.Com|BBA|B.Com Banking & Finance|B.Com Financial Technology",180000,500000,1000000,"12th or equivalent","Yes","Private","https://mitwpu.edu.in/"
"Marathwada Mitra Mandal's College of Commerce","Pune","Maharashtra","Commerce","B.Com|BBA|BCA",70000,350000,750000,"12th or equivalent","Yes","Private","https://mmcc.edu.in/"
"St. Mira's College for Girls","Pune","Maharashtra","Commerce","B.Com|BBA|B.Com Banking & Finance",80000,350000,750000,"12th or equivalent","Yes","Private","https://stmirascollegepune.edu.in/"
"Yashwantrao Mohite College of Arts Science and Commerce","Pune","Maharashtra","Commerce","B.Com|BBA|BCA",70000,350000,750000,"12th or equivalent","Yes","Private","https://ymcollege.ac.in/"
"Narsee Monjee College of Commerce and Economics","Mumbai","Maharashtra","Commerce","B.Com|B.Com Accounting & Finance|B.Com Financial Markets",100000,550000,1200000,"12th Commerce or equivalent","No","Private","https://nmcollege.in/"
"K. P. B. Hinduja College of Commerce","Mumbai","Maharashtra","Commerce","B.Com|B.Com Banking & Insurance|B.Com Financial Markets",85000,450000,1000000,"12th Commerce or equivalent","No","Private","https://www.hindujacollege.com/"
"SIES College of Commerce and Economics","Mumbai","Maharashtra","Commerce","B.Com|B.Com Banking & Insurance|B.Com Accounting & Finance",90000,450000,1000000,"12th Commerce or equivalent","Yes","Private","https://www.siesce.edu.in/"
"St. Xavier's College Mumbai","Mumbai","Maharashtra","Commerce","B.Com|B.A.|B.Sc.",90000,500000,1100000,"12th or equivalent","No","Private","https://xaviers.ac/"
